Indicator_name,indicator,Country_name,country,time,value,note,level,Livestock_Primary_egg,Beef_and_bufallo(kilograms_per_year),Poultry(kilograms_per_year)
Global Hunger Index (GHI),IFPRI-GHI,Belarus,BLR,2000,2.5,In order to have numeric data for all observations,a,2.5,4.8,0.63
Global Hunger Index (GHI),IFPRI-GHI,Chile,CHL,2000,2.5,In order to have numeric data for all observations,a,2.5,5.01,0.66
Global Hunger Index (GHI),IFPRI-GHI,Kuwait,KWT,2000,2.5,In order to have numeric data for all observations,a,2.5,5.06,0.66
Global Hunger Index (GHI),IFPRI-GHI,Lithuania,LTU,2000,2.5,In order to have numeric data for all observations,a,2.5,5.03,0.67
Global Hunger Index (GHI),IFPRI-GHI,Lebanon,LBN,2000,9.1,,a,2.4615,4.99,0.7
Global Hunger Index (GHI),IFPRI-GHI,Slovakia,SVK,2000,7.3,,a,2.4,6.81,0.72
Global Hunger Index (GHI),IFPRI-GHI,Afghanistan,AFG,2000,52.1,,e,2.3847,6.36,0.74
Global Hunger Index (GHI),IFPRI-GHI,Angola,AGO,2000,65.1,,f,2.4964,6.78,0.76
Global Hunger Index (GHI),IFPRI-GHI,Albania,ALB,2000,21.5,,b,2.5,6.99,0.89
Global Hunger Index (GHI),IFPRI-GHI,Argentina,ARG,2000,6.6,,a,2.4909,5.63,0.87
Global Hunger Index (GHI),IFPRI-GHI,Armenia,ARM,2000,18.3,,b,2.57,5.48,0.85
Global Hunger Index (GHI),IFPRI-GHI,Azerbaijan,AZE,2000,27.5,,c,2.57,5.24,0.82
Global Hunger Index (GHI),IFPRI-GHI,Benin,BEN,2000,36.7,,d,2.5784,5.26,0.84
Global Hunger Index (GHI),IFPRI-GHI,Burkina Faso,BFA,2000,46.3,,e,2.5784,5.05,0.81
Global Hunger Index (GHI),IFPRI-GHI,Bangladesh,BGD,2000,36.1,,d,2.5712,4.86,0.83
Global Hunger Index (GHI),IFPRI-GHI,Bulgaria,BGR,2000,8.2,,a,2.5712,4.86,0.81
Global Hunger Index (GHI),IFPRI-GHI,Bosnia and Herzegovina,BIH,2000,9.8,,a,2.566,5.06,0.83
Global Hunger Index (GHI),IFPRI-GHI,Bolivia,BOL,2000,30.3,,c,2.566,5.08,0.85
Global Hunger Index (GHI),IFPRI-GHI,Brazil,BRA,2000,,,a,2.5741,5.36,0.91
Global Hunger Index (GHI),IFPRI-GHI,Botswana,BWA,2000,33.4,,c,2.5741,5.08,0.91
Global Hunger Index (GHI),IFPRI-GHI,Central African Republic,CAF,2000,50.7,,e,2.5818,5.25,0.96
Global Hunger Index (GHI),IFPRI-GHI,China,CHN,2000,15.8,,b,2.5818,5.46,0.98
Global Hunger Index (GHI),IFPRI-GHI,Ivory Coast,CIV,2000,,,c,2.5818,5.55,1.03
Global Hunger Index (GHI),IFPRI-GHI,Cameroon,CMR,2000,39.7,,d,2.5818,5.74,1.14
Global Hunger Index (GHI),IFPRI-GHI,Congo,COG,2000,37.3,,d,2.5818,5.9,1.18
Global Hunger Index (GHI),IFPRI-GHI,Colombia,COL,2000,11.3,,a,2.5818,6.04,1.31
